url,title,source,delivered_at,static_relevance,composite_score
https://qiita.com/dsgarage/items/33190a4fb58abca3a831,Figma MCPでデザインからUnity UIを生成する — /simplify・/batchとの連携ワークフロー,Qiita - ClaudeCode,2026-03-03T18:42:32.008588+09:00,,
https://qiita.com/dsgarage/items/368775af9abc3d1bac12,Unity開発者が知るべき.envリスク — AIエージェント時代のAPIキー管理,Qiita - ClaudeCode,2026-03-03T18:42:32.008616+09:00,,
https://qiita.com/yurukusa/items/a62bc0a05bfd258c4df5,「コピペしたら2箇所直す羽目になった」——非エンジニアがAIと仕事して学んだDRY原則,Qiita - ClaudeCode,2026-03-03T18:42:32.008627+09:00,,
https://qiita.com/to3izo/items/18c68452c616b79a8d5b,"Claude Code｜独自の Skills を生成してくれる公式の ""Skill Creator"" を導入する手順",Qiita - ClaudeCode,2026-03-03T18:42:32.008634+09:00,,
https://zenn.dev/shiromizuj/articles/cc91bb06db5b5b,Mastra Announcements 速報解説一覧,Zenn - AI Agent,2026-03-03T18:42:32.008641+09:00,,
https://github.com/anthropics/claude-code/releases/tag/v2.1.66,v2.1.66,Claude Code - GitHub Releases,2026-03-04T10:37:05.307413+09:00,,
https://zenn.dev/uniformnext/articles/c25072f5ecc1da,Design Systems with Figma: Tokyo に参加してきた,Zenn - Claude,2026-03-04T10:37:05.307439+09:00,,
https://qiita.com/nxted_sapporo/items/05f38eb0d2269b600d69,#184 非エンジニアも使えるゲーム開発の仕組みをAI+Github Actionsで作ってみた,Qiita - ClaudeCode,2026-03-04T10:37:05.307449+09:00,,
https://zenn.dev/soshi1234/articles/strategy-20260303-2024,AIに任せるほど事故る人へ。個人開発で先に作るべき『運用ルール3点セット』,Zenn - Claude,2026-03-04T10:37:05.307456+09:00,,
https://qiita.com/synchr0niciteen/items/d1937237591a267c1b89,ClaudeCode：SKILLに引数を渡すためのフィールド,Qiita - ClaudeCode,2026-03-04T10:37:05.307462+09:00,,
https://qiita.com/sinshutu/items/143711dee36dcf18e81a,巷でMCPが死んでいたので生き返らせてみる —— 死因はCLIで済む場所に作ったこと。じゃあ作るべき場所は？,Qiita - ClaudeCode,2026-03-04T15:19:49.559817+09:00,,
https://qiita.com/fukmaru/items/1180347b3bf10cb630d9,「バグ報告 → GitHub Issue → AI自動修正」を繋げるSaaS「Bugoon」を個人開発で作った,Qiita - ClaudeCode,2026-03-04T15:19:49.559846+09:00,,
https://qiita.com/kazuki_ikuta_nahato/items/f4a80413e928c5392b60,「触ったら壊れるスプレッドシート」の関数をAIで解析→GASで最適化→安全にリリースした全記録,Qiita - ClaudeCode,2026-03-04T15:19:49.559857+09:00,,
https://qiita.com/noujiru/items/4a4226eb52325d26f065,Context Rot と戦う — SessionStart フック18件で作る「記憶を持つ Claude」,Qiita - ClaudeCode,2026-03-04T15:19:49.559864+09:00,,
https://zenn.dev/mk668a/articles/ee24a0e4abd3c5,Go言語は、LLMにとって最適な言語である,Zenn - AI Agent,2026-03-04T15:19:49.559871+09:00,,
https://zenn.dev/hfm/articles/commit-message-generated-by-ai,コミットメッセージを自分で書かない,Zenn - Claude Code,2026-03-05T10:37:36.348649+09:00,,
https://zenn.dev/hironobuarakawa/articles/295e5711b76e27,No-Vibe Coding 実践編：YAML設計図から「動く契約」を生成する,Zenn - VibeCoding,2026-03-05T10:37:36.348675+09:00,,
https://github.com/anthropics/claude-code/releases/tag/v2.1.69,v2.1.69,Claude Code - GitHub Releases,2026-03-05T10:37:36.348685+09:00,,
https://qiita.com/Mrtetsu/items/9d92dd9c0f6d6a048805,Claude CodeをWSLで動かす理由とセットアップ完全ガイド,Qiita - ClaudeCode,2026-03-05T10:37:36.348691+09:00,,
https://zenn.dev/mametter/articles/3e8580ec034201,Claude Code に向いているプログラミング言語,Zenn - Claude Code,2026-03-05T10:37:36.348698+09:00,,
https://qiita.com/shimo4228/items/f80a6716a91eac35deb3,デフォルトのまま使うな ── Claude Code で本当に効いた設定10選,Qiita - ClaudeCode,2026-03-05T10:58:18.248100+09:00,,
https://zenn.dev/nnakapa/articles/lab-03-mcp-sqlite,オトナの自由研究 #03：AIが書いたコードは「育てられる」か——Claude Code × MCP × Python,Zenn - Claude Code,2026-03-05T10:58:18.248116+09:00,,
https://zenn.dev/no_code_written/articles/ai-gamedev-batch-simplify,Claude Codeのローグライク開発、自作したリファクタ自動化を公式が1週間で追い越した,Zenn - Claude,2026-03-05T10:58:18.248121+09:00,,
https://zenn.dev/shuji_bonji/articles/85af5f8fdf4b0b,会計PWAのビジネスロジックをMCPサーバーとして切り出した話,Zenn - Claude,2026-03-05T10:58:18.248125+09:00,,
https://zenn.dev/takumi2112/articles/d5eee1d21e217d,素人がバイブコーディングで Web アプリを公開するまでやった話,Zenn - VibeCoding,2026-03-05T10:58:18.248129+09:00,,
https://github.com/anthropics/claude-code/releases/tag/v2.1.59,v2.1.59,Claude Code - GitHub Releases,2026-03-05T15:21:30.160880+09:00,5,1.5
https://github.com/anthropics/claude-code/releases/tag/v2.1.58,v2.1.58,Claude Code - GitHub Releases,2026-03-05T15:21:30.160910+09:00,5,1.5
https://github.com/anthropics/claude-code/releases/tag/v2.1.56,v2.1.56,Claude Code - GitHub Releases,2026-03-05T15:21:30.160921+09:00,5,1.5
https://github.com/anthropics/claude-code/releases/tag/v2.1.55,v2.1.55,Claude Code - GitHub Releases,2026-03-05T15:21:30.160929+09:00,5,1.5
https://qiita.com/yoshiakih/items/18cd541d03720ab08958,Claude Code Plan modeの計画フォーマットをカスタマイズする,Qiita - ClaudeCode,2026-03-05T15:21:30.160936+09:00,5,9.026
https://github.com/anthropics/claude-code/releases/tag/v2.1.70,v2.1.70,Claude Code - GitHub Releases,2026-03-06T10:36:56.303772+09:00,5,7.562
https://zenn.dev/knowledgework/articles/claude-code-organization-plan-guide,Claude Codeを組織導入するためのプラン選定ガイド,Zenn - Claude,2026-03-06T10:36:56.303797+09:00,5,6.451
https://zenn.dev/fruitriin/articles/7fb64652bf08a9,MCP vs cli + skill 違いはコンテキストキャッシュで、キャッシュが効くか効かないかはClaude Code Cliの実装依存,Zenn - Claude Code,2026-03-06T10:36:56.303809+09:00,5,6.302
https://zenn.dev/sodeyama/articles/2026-03-05-aws-vault-claude-code,aws-vault経由でClaude CodeにAWSクレデンシャルを渡す,Zenn - Claude Code,2026-03-06T10:36:56.303818+09:00,5,6.258
https://qiita.com/osprey74/items/d2b046ecb11e0651a68c,Claude Code × VS Code × GitHub で実践するバイブコーディング ── kazahana 開発記,Qiita - VibeCoding,2026-03-06T10:36:56.303826+09:00,5,5.142
https://qiita.com/hideakihonda/items/3c86886a3a55a4ece09b,Claude Code 設定ファイル一覧,Qiita - ClaudeCode,2026-03-06T15:20:03.526299+09:00,5,9.5
https://qiita.com/hideakihonda/items/c8b3036bdfecd8f882bb,Claude Code よく使うコマンド集,Qiita - ClaudeCode,2026-03-06T15:20:03.526333+09:00,5,9.332
https://zenn.dev/mkj/articles/9827c9d7686a73,Vibe Codingは実プロジェクトで通用するのか？ 約6ヶ月試してわかったことと必要なスキル,Zenn - VibeCoding,2026-03-06T15:20:03.526345+09:00,5,7.779
https://zenn.dev/hiro_vibe/articles/ac9d09acdf75e3,The Vibe! 始動。生成AIと駆け抜ける開発ログ、はじめます。,Zenn - VibeCoding,2026-03-06T15:20:03.526355+09:00,5,5.703
https://zenn.dev/usagimaru/articles/42cddb457a204e,XcodeのClaude AgentにもMCPサーバーの設定を追加する,Zenn - Claude,2026-03-06T15:20:03.526363+09:00,4,3.899
https://qiita.com/shimo4228/items/17f507d2a60efeb341a5,理論が分からない論文をブラウザで動かしてしまった ── 能動的推論 × Claude Code,Qiita - ClaudeCode,2026-03-07T10:36:37.344326+09:00,5,9.118
https://qiita.com/kenimo49/items/ddfbf74c192c9b528df1,MCPサーバー、繋いでるだけで毎ターン課金されてますよ — 4つの公式MCPで実測した結果,Qiita - ClaudeCode,2026-03-07T10:36:37.344373+09:00,4,7.622
https://qiita.com/YushiYamamoto/items/a387327e94d486bf15be,"【2026年最新】「人間はもうキーボードを叩かない」。Claude Codeと過ごす""1タップ開発""の狂気と現実",Qiita - VibeCoding,2026-03-07T10:36:37.344387+09:00,5,5.811
https://qiita.com/hetare001/items/166d142f01e2f64a93ee,好きな曲をExcelに入れたらピアノが弾き始めた【Python×VBA】,Qiita - VibeCoding,2026-03-07T10:36:37.344399+09:00,5,5.624
https://zenn.dev/ifhito/articles/2212baff0c4ccc,cmux `read-screen` で別ターミナルの作業を読み取り、タスクを引き継ぐ方法(例えばClaude Code -> Codex),Zenn - Claude,2026-03-07T10:36:37.344407+09:00,5,4.343
